Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	Object ID	Object type	Classification	condition	fly_section_ID	fly_ID	section_ID
76A_5_FITC.tif	PathAnnotationObject		Image	Polygon	428.22	311.23	98.0	98.0	100.0	624.45	156938.7	1546.7				Starved	76_5	76	5
75D_2_FITC.tif	PathAnnotationObject		Image	Polygon	381.89	304.3	65.0	65.0	100.0	364.96	178100.8	1640.5				Fed	75_19	75	19
75D_1_FITC.tif	PathAnnotationObject		Image	Polygon	405.11	328.25	33.0	33.0	100.0	160.72	205328.6	1777.9				Fed	75_18	75	18
85G_2_FITC.tif	PathAnnotationObject		Image	Polygon	412.96	279.03	83.0	83.0	100.0	505.14	164310.5	1611.1				Starved	85_32	85	32
85G_3_FITC.tif	PathAnnotationObject		Image	Polygon	497.35	282.4	71.0	71.0	100.0	442.28	160533.0	1564.1				Starved	85_33	85	33
24E_F1_3_FITC.tif	PathAnnotationObject		Image	Polygon	470.75	296.48	53.0	53.0	100.0	179.0	296085.7	2432.9				Fed	24_5	24	5
24D_F1_4_FITC.tif	PathAnnotationObject		Image	Polygon	464.65	321.68	67.0	67.0	100.0	210.27	318643.3	2306.9				Fed	24_4	24	4
71_5_FITC.tif			Root object (Image)	Polygon	411.04	1563.4	96.0	96.0	100.0	84.35	1138144.1	5027.2	079dbfe4-8bc7-4aeb-94b7-6a9870369349	Annotation		Fed	71_5	71	5
71_4_FITC.tif			Root object (Image)	Polygon	417.05	1645.3	55.0	55.0	100.0	54.48	1009476.4	4747.6	ada4a4c7-64c3-436b-bc22-79a486b8c5f5	Annotation		Fed	71_4	71	4
81_13_FITC.tif			Root object (Image)	Polygon	434.08	1437.4	13.0	13.0	100.0	15.39	844726.6	4378.0	3b0acec5-c1a6-4343-bfb6-a6a6deda96c9	Annotation		Starved	81_13	81	13
81_12_FITC.tif			Root object (Image)	Polygon	417.02	1405.3	6.0	6.0	100.0	7.173	836449.4	4364.2	8447b22d-133d-4859-85f6-5e7583d028bf	Annotation		Starved	81_12	81	12
36E_4_FITC.tif	PathAnnotationObject		Image	Polygon	434.47	336.32	133.0	133.0	100.0	545.02	244026.7	2129.1				Starved	36_24	36	24
88_1_FITC.tif			Root object (Image)	Polygon	371.38	1382.8	42.0	42.0	100.0	37.04	1133892.4	5723.2	008bc23a-e0db-4a2f-a135-a4d2b05459a4	Annotation		Starved	88_1	88	1
89_3_FITC.tif			Root object (Image)	Polygon	351.47	1576.6	78.0	78.0	100.0	64.08	1217137.2	5053.7	bf6f173c-e2ca-4cab-8195-e5e366745bd9	Annotation		Starved	89_3	89	3
89_2_FITC.tif			Root object (Image)	Polygon	383.41	1415.8	74.0	74.0	100.0	66.89	1106299.1	4864.7	ac0a39a8-21b1-43ca-9c35-94b4457fcf81	Annotation		Starved	89_2	89	2
52F_1_FITC.tif	PathAnnotationObject		Image	Polygon	417.25	333.36	17.0	17.0	100.0	84.86	200330.0	1790.2				Fed	52_26	52	26
55_8_FITC.tif			Root object (Image)	Polygon	437.68	1529.2	2.0	2.0	100.0	1.546	1294058.2	5072.6	1bdb10ba-8174-4b8e-b857-b5900aae9825	Annotation		Fed	55_8	55	8
73D_5_FITC.tif	PathAnnotationObject		Image	Polygon	402.26	328.73	24.0	24.0	100.0	122.92	195255.8	1775.8				Fed	73_20	73	20
55_9_FITC.tif			Root object (Image)	Polygon	435.51	1491.3	12.0	12.0	100.0	8.277	1449885.1	5465.1	2e2a68c2-fd26-42cb-b398-4de409af1572	Annotation		Fed	55_9	55	9
90C_1_FITC.tif	PathAnnotationObject		Image	Polygon	426.47	313.25	43.0	43.0	100.0	215.18	199830.3	1794.7				Starved	90_11	90	11
86D_1_FITC.tif	PathAnnotationObject		Image	Polygon	424.08	305.24	133.0	133.0	100.0	884.59	150352.6	1652.7				Starved	86_16	86	16
86D_2_FITC.tif	PathAnnotationObject		Image	Polygon	369.69	285.29	137.0	137.0	100.0	871.72	157160.9	1641.8				Starved	86_17	86	17
71_11_FITC.tif			Root object (Image)	Polygon	399.64	1605.6	33.0	33.0	100.0	31.6	1044405.1	4681.4	0b4b8765-02b3-4a60-8e83-8d93f2d16cb6	Annotation		Fed	71_11	71	11
71_10_FITC.tif			Root object (Image)	Polygon	417.19	1414.6	108.0	108.0	100.0	85.73	1259822.5	5438.0	bf533e39-228d-41f4-9c4d-935701302a85	Annotation		Fed	71_10	71	10
81_8_FITC.tif			Root object (Image)	Polygon	445.79	1599.4					821094.8	4057.8	a23df75a-e878-4e1a-91ed-3b1f1bb05224	Annotation		Starved	81_8	81	8
72D_1_FITC.tif	PathAnnotationObject		Image	Polygon	434.39	325.53	42.0	42.0	100.0	169.85	247283.3	1921.7				Fed	72_16	72	16
72D_2_FITC.tif	PathAnnotationObject		Image	Polygon	426.08	304.94	61.0	61.0	100.0	262.19	232652.9	1904.1				Fed	72_17	72	17
78_6_FITC.tif			Root object (Image)	Polygon	470.27	1634.8	8.0	8.0	100.0	9.481	843801.3	4541.9	97f5c0c9-37f4-47a2-a176-dbe6ef362d18	Annotation		Starved	78_6	78	6
74_4_FITC.tif			Root object (Image)	Polygon	433.14	1673.0	1.0	1.0	100.0	1.007	993189.2	4646.3	9ea94957-74bb-45ec-a2da-79dfe64fae20	Annotation		Fed	74_4	74	4
43_5_FITC.tif			Root object (Image)	Polygon	460.91	1627.4	14.0	14.0	100.0	11.1	1261619.0	5761.9	cbc718b4-268c-4a7a-bfae-16604ea8a7a5	Annotation		Fed	43_5	43	5
24E_F2_3_FITC.tif	PathAnnotationObject		Image	Polygon	442.56	333.92	45.0	45.0	100.0	187.63	239830.4	2012.2				Fed	25_23	25	23
