Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	condition
75D_1_FITC.tif	PathAnnotationObject		Image	Polygon	405.11	328.25	33.0	33.0	100.0	160.72	205328.6	1777.9	Fed
85G_2_FITC.tif	PathAnnotationObject		Image	Polygon	412.96	279.03	83.0	83.0	100.0	505.14	164310.5	1611.1	Starved
85G_3_FITC.tif	PathAnnotationObject		Image	Polygon	497.35	282.4	71.0	71.0	100.0	442.28	160533.0	1564.1	Starved
76C_2_FITC.tif	PathAnnotationObject		Image	Polygon	386.59	304.32	93.0	93.0	100.0	614.31	151390.5	1612.1	Starved
76C_3_FITC.tif	PathAnnotationObject		Image	Polygon	471.27	273.9	90.0	90.0	100.0	616.15	146068.8	1615.0	Starved
75E_5_FITC.tif	PathAnnotationObject		Image	Polygon	406.84	286.65	27.0	27.0	100.0	216.78	124549.9	1491.1	Fed
75E_4_FITC.tif	PathAnnotationObject		Image	Polygon	389.13	307.68	27.0	27.0	100.0	183.14	147430.3	1640.6	Fed
80C_1_FITC.tif	PathAnnotationObject		Image	Polygon	353.2	352.22					38049.5	746.81	Starved
75C_2_FITC.tif	PathAnnotationObject		Image	Polygon	440.69	353.53	44.0	44.0	100.0	222.77	197514.2	1745.7	Fed
75C_1_FITC.tif	PathAnnotationObject		Image	Polygon	418.43	303.72	29.0	29.0	100.0	149.75	193653.8	1793.9	Fed
85H_3_FITC.tif	PathAnnotationObject		Image	Polygon	424.65	294.3	78.0	78.0	100.0	624.32	124936.5	1443.5	Starved
85H_4_FITC.tif	PathAnnotationObject		Image	Polygon	459.75	247.75	60.0	60.0	100.0	549.18	109254.5	1380.2	Starved
84G_2_FITC.tif	PathAnnotationObject		Image	Polygon	472.65	322.78	58.0	58.0	100.0	690.79	83961.6	1174.9	Starved
84B_4_FITC.tif	PathAnnotationObject		Image	Polygon	450.22	327.8	69.0	69.0	100.0	830.38	83094.2	1159.8	Starved
84B_3_FITC.tif	PathAnnotationObject		Image	Polygon	460.2	291.27	52.0	52.0	100.0	716.94	72530.0	1049.6	Starved
84G_3_FITC.tif	PathAnnotationObject		Image	Polygon	509.61	300.67	50.0	50.0	100.0	656.48	76164.0	1110.1	Starved
76A_3_FITC.tif	PathAnnotationObject		Image	Polygon	365.89	286.9	56.0	56.0	100.0	439.97	127281.1	1412.7	Starved
73D_5_FITC.tif	PathAnnotationObject		Image	Polygon	402.26	328.73	24.0	24.0	100.0	122.92	195255.8	1775.8	Fed
73D_6_FITC.tif	PathAnnotationObject		Image	Polygon	386.25	310.97	23.0	23.0	100.0	122.33	188014.6	1715.2	Fed
75B_2_FITC.tif	PathAnnotationObject		Image	Polygon	427.68	350.3	36.0	36.0	100.0	173.32	207712.3	1827.2	Fed
75B_1_FITC.tif	PathAnnotationObject		Image	Polygon	417.06	359.05	38.0	38.0	100.0	208.65	182123.0	1773.0	Fed
90B_5_FITC.tif	PathAnnotationObject		Image	Polygon	409.8	311.48	41.0	41.0	100.0	216.52	189361.3	1742.2	Starved
90C_1_FITC.tif	PathAnnotationObject		Image	Polygon	426.47	313.25	43.0	43.0	100.0	215.18	199830.3	1794.7	Starved
84D_4_FITC.tif	PathAnnotationObject		Image	Polygon	422.52	269.37	37.0	37.0	100.0	244.97	151038.2	1476.5	Starved
84D_3_FITC.tif	PathAnnotationObject		Image	Polygon	418.34	326.76	32.0	32.0	100.0	220.78	144940.9	1500.5	Starved
85E_5_FITC.tif	PathAnnotationObject		Image	Polygon	494.04	320.45	46.0	46.0	100.0	343.8	133797.4	1595.9	Starved
85E_4_FITC.tif	PathAnnotationObject		Image	Polygon	447.09	267.95	59.0	59.0	100.0	529.78	111366.9	1393.2	Starved
86D_1_FITC.tif	PathAnnotationObject		Image	Polygon	424.08	305.24	133.0	133.0	100.0	884.59	150352.6	1652.7	Starved
90A_3_FITC.tif	PathAnnotationObject		Image	Polygon	417.52	328.33	15.0	15.0	100.0	132.01	113629.5	1283.7	Starved
86D_2_FITC.tif	PathAnnotationObject		Image	Polygon	369.69	285.29	137.0	137.0	100.0	871.72	157160.9	1641.8	Starved
90A_2_FITC.tif	PathAnnotationObject		Image	Polygon	402.73	257.54	7.0	7.0	100.0	80.97	86448.8	1156.6	Starved
86A_5_FITC.tif	PathAnnotationObject		Image	Polygon	355.48	325.94	90.0	90.0	100.0	1167.0	77121.8	1109.0	Starved
86A_4_FITC.tif	PathAnnotationObject		Image	Polygon	414.18	306.73	77.0	77.0	100.0	1332.4	57789.7	954.18	Starved
73A_3_FITC.tif	PathAnnotationObject		Image	Polygon	418.19	335.71	36.0	36.0	100.0	544.87	66070.5	972.83	Fed
72E_2_FITC.tif	PathAnnotationObject		Image	Polygon	437.5	316.67	26.0	26.0	100.0	128.73	201976.5	1673.5	Fed
72E_3_FITC.tif	PathAnnotationObject		Image	Polygon	445.63	340.8	23.0	23.0	100.0	117.72	195378.3	1678.7	Fed
84F_1_FITC.tif	PathAnnotationObject		Image	Polygon	392.05	312.81	21.0	21.0	100.0	175.32	119779.8	1323.5	Starved
86F_3_FITC.tif	PathAnnotationObject		Image	Polygon	447.98	329.86	76.0	76.0	100.0	726.95	104546.2	1298.0	Starved
86F_4_FITC.tif	PathAnnotationObject		Image	Polygon	365.03	345.67	77.0	77.0	100.0	1062.2	72492.5	1127.1	Starved
75F_2_FITC.tif	PathAnnotationObject		Image	Polygon	430.0	265.27	18.0	18.0	100.0	192.94	93291.1	1250.7	Fed
75F_3_FITC.tif	PathAnnotationObject		Image	Polygon	370.07	268.87	9.0	9.0	100.0	117.16	76817.4	1247.0	Fed
90B_4_FITC.tif	PathAnnotationObject		Image	Polygon	379.8	349.92	45.0	45.0	100.0	259.4	173478.1	1627.5	Starved
90B_3_FITC.tif	PathAnnotationObject		Image	Polygon	369.73	317.95	19.0	19.0	100.0	102.0	186266.8	1676.3	Starved
84G_4_FITC.tif	PathAnnotationObject		Image	Polygon	395.61	306.24	30.0	30.0	100.0	458.9	65373.5	1013.6	Starved
84C_3_FITC.tif	PathAnnotationObject		Image	Polygon	449.88	297.14	49.0	49.0	100.0	366.91	133549.2	1413.2	Starved
84C_2_FITC.tif	PathAnnotationObject		Image	Polygon	424.23	307.22	44.0	44.0	100.0	354.62	124077.8	1349.9	Starved
84G_1_FITC.tif	PathAnnotationObject		Image	Polygon	431.62	314.46	58.0	58.0	100.0	622.89	93114.8	1212.4	Starved
72D_1_FITC.tif	PathAnnotationObject		Image	Polygon	434.39	325.53	42.0	42.0	100.0	169.85	247283.3	1921.7	Fed
72D_2_FITC.tif	PathAnnotationObject		Image	Polygon	426.08	304.94	61.0	61.0	100.0	262.19	232652.9	1904.1	Fed
86E_2_FITC.tif	PathAnnotationObject		Image	Polygon	441.41	337.41	197.0	197.0	100.0	1220.9	161355.7	1617.3	Starved
86E_3_FITC.tif	PathAnnotationObject		Image	Polygon	416.43	292.2	139.0	139.0	100.0	980.75	141728.4	1509.4	Starved
90E_4_FITC.tif	PathAnnotationObject		Image	Polygon	458.28	324.42	26.0	26.0	100.0	330.06	78772.4	1139.9	Starved
90E_5_FITC.tif	PathAnnotationObject		Image	Polygon	429.27	320.48	44.0	44.0	100.0	595.04	73944.7	1150.2	Starved
72A_1_FITC.tif	PathAnnotationObject		Image	Polygon	405.98	280.35	12.0	12.0	100.0	86.81	138232.2	1469.6	Fed
72F_3_FITC.tif	PathAnnotationObject		Image	Polygon	433.55	311.41	42.0	42.0	100.0	296.32	141737.5	1465.0	Fed
72F_4_FITC.tif	PathAnnotationObject		Image	Polygon	384.71	332.91	36.0	36.0	100.0	291.98	123296.4	1355.0	Fed
73B_4_FITC.tif	PathAnnotationObject		Image	Polygon	469.39	337.1	9.0	9.0	100.0	65.47	137461.9	1633.6	Fed
73B_3_FITC.tif	PathAnnotationObject		Image	Polygon	491.91	322.42	19.0	19.0	100.0	121.89	155880.8	1832.5	Fed
73C_4_FITC.tif	PathAnnotationObject		Image	Polygon	394.54	295.15	89.0	89.0	100.0	463.92	191842.0	1937.0	Fed
73C_5_FITC.tif	PathAnnotationObject		Image	Polygon	465.71	329.43	49.0	49.0	100.0	279.44	175350.5	1736.4	Fed
